day_of_week,ActivityTime,agg_calories_by_hour,Activity24Time
Sunday,12:00:00 AM,9177,00:00:00
Sunday,1:00:00 AM,8823,01:00:00
Sunday,2:00:00 AM,8632,02:00:00
Sunday,3:00:00 AM,8153,03:00:00
Sunday,4:00:00 AM,8159,04:00:00
Sunday,5:00:00 AM,8199,05:00:00
Sunday,6:00:00 AM,8805,06:00:00
Sunday,7:00:00 AM,9994,07:00:00
Sunday,8:00:00 AM,11626,08:00:00
Sunday,9:00:00 AM,12821,09:00:00
Sunday,10:00:00 AM,14108,10:00:00
Sunday,11:00:00 AM,13233,11:00:00
Sunday,12:00:00 PM,13545,12:00:00
Sunday,1:00:00 PM,14117,13:00:00
Sunday,2:00:00 PM,14377,14:00:00
Sunday,3:00:00 PM,13699,15:00:00
Sunday,4:00:00 PM,12577,16:00:00
Sunday,5:00:00 PM,14360,17:00:00
Sunday,6:00:00 PM,13822,18:00:00
Sunday,7:00:00 PM,13470,19:00:00
Sunday,8:00:00 PM,11434,20:00:00
Sunday,9:00:00 PM,11499,21:00:00
Sunday,10:00:00 PM,9630,22:00:00
Sunday,11:00:00 PM,8937,23:00:00
Monday,12:00:00 AM,8413,00:00:00
Monday,1:00:00 AM,8241,01:00:00
Monday,2:00:00 AM,8093,02:00:00
Monday,3:00:00 AM,8093,03:00:00
Monday,4:00:00 AM,8248,04:00:00
Monday,5:00:00 AM,10798,05:00:00
Monday,6:00:00 AM,10588,06:00:00
Monday,7:00:00 AM,11835,07:00:00
Monday,8:00:00 AM,12749,08:00:00
Monday,9:00:00 AM,13222,09:00:00
Monday,10:00:00 AM,14002,10:00:00
Monday,11:00:00 AM,12279,11:00:00
Monday,12:00:00 PM,13680,12:00:00
Monday,1:00:00 PM,13119,13:00:00
Monday,2:00:00 PM,12489,14:00:00
Monday,3:00:00 PM,12052,15:00:00
Monday,4:00:00 PM,13789,16:00:00
Monday,5:00:00 PM,14469,17:00:00
Monday,6:00:00 PM,15223,18:00:00
Monday,7:00:00 PM,14783,19:00:00
Monday,8:00:00 PM,11854,20:00:00
Monday,9:00:00 PM,11207,21:00:00
Monday,10:00:00 PM,9770,22:00:00
Monday,11:00:00 PM,8674,23:00:00
Tuesday,12:00:00 AM,10500,00:00:00
Tuesday,1:00:00 AM,10520,01:00:00
Tuesday,2:00:00 AM,10295,02:00:00
Tuesday,3:00:00 AM,10099,03:00:00
Tuesday,4:00:00 AM,10303,04:00:00
Tuesday,5:00:00 AM,13836,05:00:00
Tuesday,6:00:00 AM,13867,06:00:00
Tuesday,7:00:00 AM,14706,07:00:00
Tuesday,8:00:00 AM,15865,08:00:00
Tuesday,9:00:00 AM,15065,09:00:00
Tuesday,10:00:00 AM,16953,10:00:00
Tuesday,11:00:00 AM,16297,11:00:00
Tuesday,12:00:00 PM,18627,12:00:00
Tuesday,1:00:00 PM,16979,13:00:00
Tuesday,2:00:00 PM,15993,14:00:00
Tuesday,3:00:00 PM,15425,15:00:00
Tuesday,4:00:00 PM,17502,16:00:00
Tuesday,5:00:00 PM,19108,17:00:00
Tuesday,6:00:00 PM,18758,18:00:00
Tuesday,7:00:00 PM,18357,19:00:00
Tuesday,8:00:00 PM,15588,20:00:00
