ActivityTime,agg_total_calories,Activity24Time
12:00:00 AM,67066,00:00:00
1:00:00 AM,65464,01:00:00
2:00:00 AM,64551,02:00:00
3:00:00 AM,63013,03:00:00
4:00:00 AM,63620,04:00:00
5:00:00 AM,76152,05:00:00
6:00:00 AM,80994,06:00:00
7:00:00 AM,87959,07:00:00
8:00:00 AM,96207,08:00:00
9:00:00 AM,98819,09:00:00
10:00:00 AM,102618,10:00:00
11:00:00 AM,101791,11:00:00
12:00:00 PM,108056,12:00:00
1:00:00 PM,106200,13:00:00
2:00:00 PM,106590,14:00:00
3:00:00 PM,97573,15:00:00
4:00:00 PM,102788,16:00:00
5:00:00 PM,111214,17:00:00
6:00:00 PM,111884,18:00:00
7:00:00 PM,110065,19:00:00
8:00:00 PM,92736,20:00:00
9:00:00 PM,86931,21:00:00
10:00:00 PM,79792,22:00:00
11:00:00 PM,70067,23:00:00
